Process Capture Log - 20260313_230324
--------------------------------------------------------------------------------
PID        Name                      Status          User                
11200      UserOOBEBroker.exe        running         DESKTOP-6HBDP9T\JMD 
11240      RuntimeBroker.exe         running         DESKTOP-6HBDP9T\JMD 
11440      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
11472      TrustedInstaller.exe      running         None                
11692      powershell.exe            running         DESKTOP-6HBDP9T\JMD 
11944      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
12020      WsToastNotification.exe   running         DESKTOP-6HBDP9T\JMD 
12120      msedge.exe                running         DESKTOP-6HBDP9T\JMD 
12140      svchost.exe               running         None                
12148      Flow.exe                  running         DESKTOP-6HBDP9T\JMD 
12168      NisSrv.exe                running         None                
12348      SecurityHealthService.ex  running         None                
12420      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
12524      svchost.exe               running         None                
12536      svchost.exe               running         None                
12748      vmware-tray.exe           running         DESKTOP-6HBDP9T\JMD 
12936      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
12960      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
13108      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
13288      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
13304      TextInputHost.exe         running         DESKTOP-6HBDP9T\JMD 
13340      svchost.exe               running         None                
13412      msedge.exe                running         DESKTOP-6HBDP9T\JMD 
13704      CastSrv.exe               running         DESKTOP-6HBDP9T\JMD 
13812      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
13856      svchost.exe               running         None                
13948      CrossDeviceService.exe    running         DESKTOP-6HBDP9T\JMD 
13992      conhost.exe               running         DESKTOP-6HBDP9T\JMD 
14028      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
14284      PhoneExperienceHost.exe   running         DESKTOP-6HBDP9T\JMD 
14296      ms-teams.exe              running         DESKTOP-6HBDP9T\JMD 
14384      chrome.exe                running         DESKTOP-6HBDP9T\JMD 
14576      language_server_windows_  running         DESKTOP-6HBDP9T\JMD 
14632      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
14844      chrome.exe                running         DESKTOP-6HBDP9T\JMD 
14876      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
15120      msedge.exe                running         DESKTOP-6HBDP9T\JMD 
15528      TiWorker.exe              running         None                
15612      dllhost.exe               running         DESKTOP-6HBDP9T\JMD 
15752      powershell.exe            running         DESKTOP-6HBDP9T\JMD 
15836      chrome.exe                running         DESKTOP-6HBDP9T\JMD 
16104      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
16208      node.exe                  running         DESKTOP-6HBDP9T\JMD 
16304      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
16404      msedge.exe                running         DESKTOP-6HBDP9T\JMD 
16496      codex.exe                 running         DESKTOP-6HBDP9T\JMD 
16592      WSHelper.exe              running         DESKTOP-6HBDP9T\JMD 
16728      svchost.exe               running         None                
16736      RuntimeBroker.exe         running         DESKTOP-6HBDP9T\JMD 
16856      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
16868      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
17000      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
17024      conhost.exe               running         DESKTOP-6HBDP9T\JMD 
17100      msedge.exe                running         DESKTOP-6HBDP9T\JMD 
17220      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
17260      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
17652      chrome.exe                running         DESKTOP-6HBDP9T\JMD 
17696      Creative Cloud Helper.ex  running         DESKTOP-6HBDP9T\JMD 
18108      dllhost.exe               running         DESKTOP-6HBDP9T\JMD 
18264      dllhost.exe               running         DESKTOP-6HBDP9T\JMD 
18388      AppActions.exe            running         DESKTOP-6HBDP9T\JMD 
18480      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
19012      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
